fecha,Ocupantes,Fallecidos,Decada,Supervivientes
1934-07-12,3,3,1970-01-01 00:00:00.000001930,0
1934-08-12,1,1,1970-01-01 00:00:00.000001930,0
1934-10-12,8,4,1970-01-01 00:00:00.000001930,4
1934-12-20,7,7,1970-01-01 00:00:00.000001930,0
1934-12-22,1,1,1970-01-01 00:00:00.000001930,0
1934-12-31,10,10,1970-01-01 00:00:00.000001930,0
1935-08-01,2,0,1970-01-01 00:00:00.000001930,2
1935-01-26,1,1,1970-01-01 00:00:00.000001930,0
1935-01-31,11,11,1970-01-01 00:00:00.000001930,0
1935-12-02,83,2,1970-01-01 00:00:00.000001930,81
1935-07-03,3,0,1970-01-01 00:00:00.000001930,3
1935-03-15,6,3,1970-01-01 00:00:00.000001930,3
1935-03-29,5,5,1970-01-01 00:00:00.000001930,0
1935-01-04,3,1,1970-01-01 00:00:00.000001930,2
1935-06-04,7,7,1970-01-01 00:00:00.000001930,0
1935-01-05,1,1,1970-01-01 00:00:00.000001930,0
1935-06-05,14,5,1970-01-01 00:00:00.000001930,9
1935-05-18,50,50,1970-01-01 00:00:00.000001930,0
1935-05-18,12,3,1970-01-01 00:00:00.000001930,9
1935-05-27,1,1,1970-01-01 00:00:00.000001930,0
1935-05-28,2,2,1970-01-01 00:00:00.000001930,0
1935-05-29,9,6,1970-01-01 00:00:00.000001930,3
1935-06-24,20,17,1970-01-01 00:00:00.000001930,3
1935-07-14,20,6,1970-01-01 00:00:00.000001930,14
1935-07-19,2,2,1970-01-01 00:00:00.000001930,0
1935-07-20,13,13,1970-01-01 00:00:00.000001930,0
1935-07-23,8,1,1970-01-01 00:00:00.000001930,7
1935-07-28,5,5,1970-01-01 00:00:00.000001930,0
1935-07-08,7,7,1970-01-01 00:00:00.000001930,0
1935-08-13,4,4,1970-01-01 00:00:00.000001930,0
1935-08-14,4,4,1970-01-01 00:00:00.000001930,0
1935-08-15,2,2,1970-01-01 00:00:00.000001930,0
1935-08-15,3,3,1970-01-01 00:00:00.000001930,0
1935-01-09,3,3,1970-01-01 00:00:00.000001930,0
1935-09-13,8,8,1970-01-01 00:00:00.000001930,0
